NOTE	CATEGORY	BIBTEXKEY	AUTHOR	TITLE	YEAR	PUBLISHER	ADDRESS	PAGES	BOOKTITLE	EDITOR	JOURNAL	NUMBER	SCHOOL	URL	VOLUME	SERIES	HOWPUBLISHED
ru	book	abdullaevaetal2014	Абдуллаева, А. З. and Гаджиахмедов, Н. Э. and Кадыраджиев, К. С. and Керимов, И. А. and Ольмесов, Н. Х. and Хангишиев, Д. М.	{С}овременный кумыкский язык	2014	ИЯЛИ ДНЦ РАН	Махачкала			Гаджиахмедов, Н. Э.							
	article	Achouriotietal2014	Achourioti, T. and Fugard, A. J. B. and Stenning, K.	{T}he {E}mpirical {S}tudy of {N}orms {I}s {J}ust {W}hat {W}e {A}re {M}issing	2014			1--15			Frontiers in Psychology				5		
	article	Afros2009	Afros, E. and Schryer, C. F.	{P}romotional (meta)discourse in research articles in language and literary studies	2009			58--68			English for Specific Purposes	28(1)					
	book	Aikhenvald2004	Aikhenvald, A.	{E}videntiality	2004	Oxford University Press	Oxford										
	book	aikhenvald2010	Aikhenvald, A.Y.	{I}mperatives and commands	2010	Oxford University Press	Oxford										
	book	alekseevetal2012	Алексеев, М. Е. and Атаев, Б. М. and Магомедов, М. А. and Магомедов, М. И. and Мадиева, Г. И. and Саидова, П. А. and Самедов, Дж. С.	{С}овременный аварский язык	2012	ИЯЛИ ДНЦ РАН, Изд-во АЛЕФ	Махачкала										
	article	Alsha2005	Al–Shaer, I.	{T}he {C}ollapse of {G}rammatical {R}ules {U}nder the {P}ressure of {S}emantic {C}ontent: {S}ubject-{V}erb {C}oncord	2005			295--314			An-Najah University Journal for Research - B (Humanities)	19(1)					
	inproceedings	AnderBoisetal2010	AnderBois, S. and Brasoveanu, A. and Henderson, R.	{C}rossing the {A}ppositive/{A}t-issue {M}eaning {B}oundary	2010	Linguistic Society of America	Ithaca, NY	328--346	{P}roceedings of {S}emantics and {L}inguistic {T}heory 20	Li, N. and Lutz, D.					20	Proceedings of Semantics and Linguistic Theory	
	article	AnderBoisetal2015	AnderBois, S. and Brasoveanu, A. and Henderson, R.	{A}t-issue proposals and appositive impositions in discourse	2015			93--138			Journal of Semantics	1			32		
	article	Anderson1986	Anderson, L. B.	{E}videntials, paths of change, and mental maps: typologically regular asymmetries	1986			273--312			Advances in Discourse Processes				20		
ru	incollection	andreev1961	Андреев, Н. А.	{К}раткий грамматический очерк чувашского языка.	1961	Государственное издательство иностранных и национальных словарей			{Ч}увашско-русский словарь								
ru	article	apresyanletuchiy2023	Апресян, В. Ю. and Летучий, А.Б.	{К}онкуренция дательного падежа и предлога для при глаголах и предикативах в русском языке: семантика и синтаксис	2023			167--207			Russian Linguistics	2			47		
	article	apresyanletuchiy2023	Апресян, В. Ю. and Летучий, А.Б.	{К}онкуренция дательного падежа и предлога для при глаголах и предикативах в русском языке: семантика и синтаксис	2023			167--207			Russian Linguistics	2			47		
ru	misc	apresyanpekelis2012	Апресян, В.Ю. and Пекелис, О.Е	{М}атериалы для проекта корпусного описания русской грамматики (http://rusgram.ru)	2012		М.										
	misc	apresyanpekelis2012	Апресян, В.Ю. and Пекелис, О.Е	{М}атериалы для проекта корпусного описания русской грамматики (http://rusgram.ru)	2012		М.										
	incollection	arkadievpanova2024	Arkadiev, P. and Panova, A.	{I}ndependent pronouns in languages with pronominal affixes: {E}vidence from {A}baza	2024	Буки Веди	Москва	30--58	{С}остав науки: {С}борник статей к юбилею {В}еры {И}сааковны {П}одлесской	Коротаев, Н. А. and Сумбатова, Н. Р.							
ru	inproceedings	arkhangelsky2021	Архангельский, Т. А.	{К}орпусная платформа {T}sakorpus и языки {Р}оссии	2021	«Коми республиканская академия государственной службы и управления»	Сыктывкар	23--24	{Э}лектронная письменность народов {Р}оссийской федерации – 2021 & {I}{W}{C}{L}{U}{L} 2021. {М}атериалы {М}еждунар. научно-практич. конф.								
	inproceedings	armenante2024	Armenante, G.	{I}{P}{G} effects on adverbials in attitude reports	2024	University of Massachusetts Amherst	Yale University		{P}roceedings of {N}{E}{L}{S} 55								
	book	armstrongmalcolm1984	Armstrong, D. M. and Malcolm, N.	{C}onsciousness and {C}ausality. {A} {D}ebate on the {N}ature of {M}ind	1984	Basil Blackwell	Oxford										
	inproceedings	arregui1998	Arregui, A. and Kusumoto, K.	{T}ense in {T}emporal {A}djunct {C}lauses	1998				{S}emantics and {L}inguistic {T}heory			1		https://doi.org/10.3765/salt.v0i0.2814			
	article	Asher2000	Asher, N.	{T}ruth conditional discourse semantics for parentheticals	2000			31--50			Journal of Semantics	1			17		
ru	book	ashmarin1903	Ашмарин, Н. И.	{О}пыт исследования чувашского синтаксиса: часть первая	1903	Типолитография Клучникова											
	inproceedings	Asinovsky2009	Asinovsky, A. and Bogdanova, N. and Rusakova, M. and Ryko, A. and Stepanova, S. and Sherstinova, T.	{T}he {O}{R}{D} {S}peech {C}orpus of {R}ussian {E}veryday {C}ommunication """"""""{O}ne {S}peaker's {D}ay"""""""": {C}reation {P}rinciples and {A}nnotation	2009			250--257	{T}ext, {S}peech and {D}ialogue: 12th {I}nternational {C}onference ({T}{S}{D} 2009)								
	article	AsinovskyEtAl2009	Asinovsky, A. and Bogdanova, N. and Rusakova, M. and Ryko, A. and Stepanova, S. and Sherstinova, T.	{T}he {O}{R}{D} {S}peech {C}orpus of {R}ussian {E}veryday {C}ommunication '{O}ne {S}peaker’s {D}ay': {C}reation {P}rinciples and {A}nnotation	2009	Springer		250--257	{T}ext, {S}peech and {D}ialogue: 12th {I}nternational {C}onference ({T}{S}{D} 2009)								
	book	austin1962	Austin, J. L.	{H}ow to {D}o {T}hings with {W}ords: {T}he {W}illiam {J}ames {L}ectures {D}elivered at {H}arvard {U}niversity	1962	Harvard University Press	Cambridge, M.A.										
ru	article	Aznacheeva2011	Азначеева, Е.Н.	{А}стрологический дискурс: семиотический и когнитивный аспекты	2011			19--21			Вестник Челябинского государственного университета	33					
ru	article	Aznacheeva2011	Азначеева, Е.Н.	{А}стрологический дискурс: семиотический и когнитивный аспекты	2011			19--21			Вестник Челябинского государственного университета	33					
	phdthesis	babaliyeva2013	Babaliyeva, A.	Études sur la morphosyntaxe du {T}abasaran {L}ittéraire	2013	École Pratique des Hautes Études											
	book	Bacon2018	Bacon, A.	{V}agueness and {T}hought	2018	Oxford University Press	Oxford										
