Корпус 	Число говорящих	Кол-во токенов	Время записи
**Севернорусские говоры**	 	 	 
Веегора	10 (6)	91 514	1999; 1986
Двина	8 (8)	68 010	1989; 1997
Кеба	6 (5)	54 535	1986; 1989
Мантурово 	6 (4)	113 837	2020–2021
Пёза	8 (8)	79 566	1989
Пинега	15 (10)	43 270	1965; 1984
Пинега-Выя	15 (10)	70 803	1987; 1990
Устья	32 (23)	182 933	1987; 2013–2017
Церковное	1 (1)	14 221	1988
**Среднерусские говоры**	 	 	 
*Восточные среднерусские окающие*	 	 	 
Лух и Тёза	11 (4)	146 350	2018–2019
*Западные среднерусские окающие*	 	 	 
Новгород	13 (7)	134 207	2019; 2022
*Западные среднерусские акающие*	 	 	 
Лужниково	6 (2)	68 666	2018
Опочка	13 (2)	68 741	2018–2019
Макеево	5 (1)	95 335	2021–2023
**Южнорусские говоры**	 	 	 
Михайлов	6 (5)	47 579	1992
Нехочи	3 (3)	88 965	2013
Роговатка	8 (6)	100 047	2010–2015
Малинино	21 (6)	138 943	2010
Свишни и Тростное	4 (1)	24 414	1991
Спиридонова Буда	6 (5)	70 565	2017
Хиславичи	20 (13)	260 793	2018–2019
**Всего**	**216 (130)**	**1894970**	 
